ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
18332710,19.4,14.2,,190.0,0.0,,1010.5,
18332715,16.7,0.0,,360.0,13.0,,1019.6,
18332725,4.4,,,10.0,7.6,,1014.6,
18332922,8.9,0.0,,40.0,9.4,,1018.3,
18332923,0.6,0.0,,90.0,14.8,,1025.4,
18332924,-0.6,0.0,,120.0,16.6,,1026.0,
18332925,4.4,,,10.0,7.6,,1014.6,
18332926,24.4,0.0,,160.0,14.8,,1012.5,
18332927,-0.6,0.0,,120.0,16.6,,1026.0,
18332928,19.4,0.3,,110.0,7.6,,1011.1,
18332929,1.7,0.8,,70.0,14.8,,1022.8,14.0
18332930,0.6,0.0,,90.0,14.8,,1025.4,
18332931,0.6,0.0,,90.0,14.8,,1025.4,
18332932,4.4,,,10.0,7.6,,1014.6,
18332933,30.6,0.0,,230.0,14.8,,1011.8,
18332935,0.6,0.0,,90.0,14.8,,1025.4,
18332936,24.4,0.0,,170.0,22.3,,1011.4,
18332937,0.6,0.0,,90.0,14.8,,1025.4,
18332938,22.8,2.8,,190.0,11.2,,1012.0,
18332939,-0.6,0.0,,120.0,16.6,,1026.0,
18332940,19.4,14.2,,190.0,0.0,,1010.5,
18332941,24.4,0.0,,160.0,14.8,,1012.5,
18332942,22.8,2.8,,190.0,11.2,,1012.0,
18332943,19.4,14.2,,190.0,0.0,,1010.5,
18332944,-0.6,0.0,,120.0,16.6,,1026.0,
18332945,2.8,2.5,,40.0,14.8,,1016.4,7.0
18332946,24.4,0.0,,160.0,14.8,,1012.5,
18332947,0.6,0.0,,90.0,14.8,,1025.4,
18332948,3.3,0.8,,40.0,22.3,,1015.0,
18332949,0.6,0.0,,90.0,14.8,,1025.4,
18332950,-1.7,,,30.0,22.3,,,15.0
18332951,0.6,0.0,,90.0,14.8,,1025.4,
18332952,-1.7,,,30.0,22.3,,,15.0
18332953,-0.6,0.0,,120.0,16.6,,1026.0,
18332954,-0.6,0.0,,120.0,16.6,,1026.0,
18332955,19.4,0.3,,110.0,7.6,,1011.1,
18332956,19.4,14.2,,190.0,0.0,,1010.5,
18332958,0.6,0.0,,90.0,14.8,,1025.4,
18332959,13.9,,,340.0,24.1,,1017.3,
18332960,-1.7,,,30.0,22.3,,,15.0
18332961,22.8,2.8,,190.0,11.2,,1012.0,
18332962,24.4,0.0,,170.0,22.3,,1011.4,
18332963,19.4,0.3,,110.0,7.6,,1011.1,
18332964,17.2,0.0,,320.0,13.0,,1016.3,
18333166,0.6,0.0,,130.0,9.4,,1028.4,
18333167,25.0,0.0,,170.0,16.6,,1011.8,
18333168,0.6,0.0,,130.0,9.4,,1028.4,
18333169,25.0,0.0,,110.0,11.2,,1017.3,
18333170,0.0,,,170.0,7.6,,,
18333171,25.0,0.0,,170.0,16.6,,1011.8,
18333172,24.4,0.0,,190.0,20.5,,1010.7,
18333173,0.6,0.0,,130.0,9.4,,1028.4,
18333174,22.2,0.0,,280.0,22.3,,1015.8,
18333175,-1.7,0.0,,190.0,14.8,,1028.9,
18333176,24.4,0.0,,170.0,22.3,,1011.4,
18333177,0.6,0.0,,130.0,9.4,,1028.4,
18333178,14.4,0.0,,260.0,13.0,,1015.2,
18333179,0.0,,,170.0,7.6,,,
18333180,19.4,0.3,,110.0,7.6,,1011.1,
18333181,-1.7,0.0,,190.0,14.8,,1028.9,
18333182,8.5,,,,0.0,,1011.8,
18333183,19.4,0.3,,110.0,7.6,,1011.1,
18333184,0.6,0.0,,130.0,9.4,,1028.4,
18333185,0.0,1.3,,110.0,5.4,,1022.7,
18333186,-1.7,0.0,,190.0,14.8,,1028.9,
18333187,-1.7,0.0,,190.0,14.8,,1028.9,
18333188,24.4,0.0,,170.0,22.3,,1011.4,
18333189,0.6,0.0,,130.0,9.4,,1028.4,
18333190,13.9,,,340.0,24.1,,1017.3,
18333191,1.7,0.8,,70.0,14.8,,1022.8,14.0
18333192,0.6,0.0,,130.0,9.4,,1028.4,
18333193,0.6,0.0,,130.0,9.4,,1028.4,
18333195,25.0,0.0,,170.0,16.6,,1011.8,
18333196,0.6,0.0,,130.0,9.4,,1028.4,
18333197,19.4,0.3,,110.0,7.6,,1011.1,
18333198,0.6,0.0,,130.0,9.4,,1028.4,
18333199,25.0,0.0,,170.0,16.6,,1011.8,
18333200,0.6,0.0,,130.0,9.4,,1028.4,
18333201,0.6,0.0,,130.0,9.4,,1028.4,
18333202,-2.2,0.0,,150.0,13.0,,1028.5,
18333203,25.0,0.0,,170.0,16.6,,1011.8,
18333204,-6.7,0.0,,70.0,5.4,,1027.0,
18333205,0.6,0.0,,130.0,9.4,,1028.4,
18333206,-1.7,0.0,,190.0,14.8,,1028.9,
18333207,0.6,0.0,,130.0,9.4,,1028.4,
18333209,19.4,0.3,,110.0,7.6,,1011.1,
18333210,-1.7,0.0,,190.0,14.8,,1028.9,
18333211,0.6,0.0,,130.0,9.4,,1028.4,
18333212,14.4,0.0,,260.0,13.0,,1015.2,
18333213,0.6,0.3,,80.0,16.6,,1022.9,14.0
