ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
17486636,0.0,0.8,,130.0,11.2,,1023.3,
17487473,14.4,0.0,,250.0,13.0,,1014.7,
17487865,11.1,0.0,,50.0,11.2,,1022.5,
17487914,0.0,0.8,,130.0,11.2,,1023.3,
17487920,21.7,0.0,,140.0,38.9,,1009.1,
17487950,23.3,0.0,,80.0,20.5,,1022.5,
17488038,15.6,0.0,,150.0,14.8,,1016.6,
17488159,0.0,1.0,,70.0,9.4,,1025.1,7.0
17488207,-1.7,0.0,,170.0,0.0,,1030.4,5.0
17488250,0.2,,,,0.0,,,
17488256,0.2,,,,0.0,,,
17488272,0.0,0.0,,190.0,5.4,,1027.5,
17488289,-0.6,0.5,,80.0,11.2,,1023.0,10.0
17488308,0.0,0.0,,190.0,5.4,,1027.5,
17488365,-0.6,0.5,,80.0,11.2,,1023.0,10.0
17488377,20.0,0.0,,,0.0,,1023.9,
17488418,-3.3,0.0,,210.0,7.6,,1029.5,
17488648,-3.9,0.0,,170.0,11.2,,1025.2,
17488708,0.0,0.0,,190.0,5.4,,1027.5,
17488737,13.3,0.0,,220.0,0.0,,1014.8,
17488767,18.9,0.0,,70.0,13.0,,1024.8,
17488769,0.0,,,100.0,18.4,,1022.5,
17489705,0.6,1.5,,60.0,9.4,,1020.4,10.0
17489765,2.2,0.5,,90.0,13.0,,1016.3,
17489816,16.0,,,60.0,13.0,,,
17489930,0.6,1.5,,60.0,9.4,,1020.4,10.0
17490027,0.0,1.0,,120.0,11.2,,1022.2,7.0
17490028,2.2,0.5,,90.0,13.0,,1016.3,
17490029,0.6,1.5,,60.0,9.4,,1020.4,10.0
17490040,-3.3,0.0,,130.0,31.7,,1020.5,
17490041,-3.3,0.0,,130.0,31.7,,1020.5,
17490048,-3.3,0.0,,130.0,31.7,,1020.5,
17490053,6.1,0.0,,150.0,9.4,,1016.9,
17490057,12.8,0.0,,230.0,11.2,,1018.6,
17490058,15.6,0.0,,250.0,5.4,,1016.5,
17490068,-3.3,0.0,,130.0,31.7,,1020.5,
17490078,6.1,0.0,,150.0,9.4,,1016.9,
