ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
24426497,24.0,,,,,,,8.0
24426507,26.1,0.0,,10.0,18.4,,1015.9,3.0
24426515,23.9,0.3,,300.0,25.9,,1008.5,
24426521,26.1,0.0,,10.0,18.4,,1015.9,3.0
24426545,26.1,0.0,,10.0,18.4,,1015.9,3.0
24426563,26.1,0.0,,10.0,18.4,,1015.9,3.0
24426575,24.4,0.0,,60.0,16.6,,1021.4,4.0
24426736,24.4,,,100.0,24.1,,1016.8,7.0
24426741,23.3,0.3,,40.0,29.5,,1011.9,
24426743,23.3,3.3,,50.0,29.5,,1010.7,8.0
24426746,24.4,,,10.0,31.7,,1010.3,7.0
24426809,24.4,,,10.0,31.7,,1010.3,7.0
24426823,23.9,,,40.0,16.6,,1018.8,
24426848,27.8,,,290.0,35.3,,1001.6,8.0
24426849,27.2,0.0,,168.0,0.0,,1013.6,8.0
24426864,24.4,,,10.0,31.7,,1010.3,7.0
24426878,24.4,,,10.0,31.7,,1010.3,7.0
24426879,27.2,0.0,,90.0,7.6,,1017.0,
24426894,21.7,0.0,,90.0,13.0,,1023.4,3.0
24426895,23.3,3.3,,50.0,29.5,,1010.7,8.0
24426917,27.2,0.0,,90.0,7.6,,1017.0,
24426954,24.4,,,10.0,31.7,,1010.3,7.0
24426955,23.3,0.3,,40.0,29.5,,1011.9,
24427012,24.4,,,10.0,31.7,,1010.3,7.0
24427014,24.4,,,100.0,24.1,,1016.8,7.0
24427031,22.8,0.3,,70.0,16.6,,1020.9,5.0
24427032,23.3,15.0,,240.0,38.9,,983.9,7.0
24427114,23.3,15.0,,240.0,38.9,,983.9,7.0
24427116,21.1,0.0,,80.0,18.4,,1022.6,3.0
24427152,22.0,,,,0.0,,,
24427153,23.3,15.0,,240.0,38.9,,983.9,7.0
24427167,24.4,,,10.0,31.7,,1010.3,7.0
24427170,23.3,4.1,,40.0,50.0,,1001.3,
24427171,24.4,,,100.0,24.1,,1016.8,7.0
24427173,24.4,0.0,,350.0,18.4,,1013.9,2.0
24427174,24.4,,,10.0,31.7,,1010.3,7.0
24427175,24.4,,,10.0,31.7,,1010.3,7.0
24427176,21.1,0.0,,150.0,9.4,,1020.4,2.0
24427178,21.1,0.0,,150.0,9.4,,1020.4,2.0
24427179,26.7,,,320.0,31.7,,1006.5,
24427180,24.4,,,10.0,31.7,,1010.3,7.0
24427181,24.4,,,10.0,31.7,,1010.3,7.0
24427182,23.3,15.0,,240.0,38.9,,983.9,7.0
24427185,27.8,0.0,,170.0,9.4,,1011.7,
24427186,22.8,0.0,,20.0,11.2,,1020.4,2.0
24427191,28.3,0.0,,10.0,18.4,,1011.9,
24427195,24.4,,,10.0,31.7,,1010.3,7.0
24427201,23.3,0.0,,100.0,14.8,,1020.2,2.0
24427202,24.4,,,10.0,31.7,,1010.3,7.0
24427203,24.4,,,10.0,31.7,,1010.3,7.0
24427204,30.0,0.0,,360.0,28.0,,1009.0,1.0
24427205,24.4,,,10.0,31.7,,1010.3,7.0
24427208,24.4,,,10.0,31.7,,1010.3,7.0
24427210,24.4,,,10.0,31.7,,1010.3,7.0
24427211,23.3,4.1,,40.0,50.0,,1001.3,
24427213,21.7,0.0,,,0.0,,1020.8,
24427214,24.4,,,10.0,31.7,,1010.3,7.0
24427221,22.8,0.0,,80.0,5.4,,1021.1,3.0
24427222,24.4,,,10.0,31.7,,1010.3,7.0
24427223,22.8,0.0,,,0.0,,1020.1,
24427224,24.4,,,10.0,31.7,,1010.3,7.0
24427225,29.4,0.0,,20.0,11.2,,1013.6,
24427226,24.4,,,10.0,31.7,,1010.3,7.0
24427227,18.9,0.0,,200.0,9.4,,1023.0,
24427228,24.4,,,10.0,31.7,,1010.3,7.0
24427229,22.8,0.0,,20.0,11.2,,1020.4,2.0
24427236,24.4,,,10.0,31.7,,1010.3,7.0
24427237,23.9,0.0,,330.0,5.4,,1018.3,
24427238,24.4,,,10.0,31.7,,1010.3,7.0
