ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
21212456,26.1,0.0,,50.0,22.3,,1010.4,
21212457,26.1,0.0,,50.0,22.3,,1010.4,
21212464,28.3,0.0,,120.0,9.4,,1014.5,
21212470,25.0,0.0,,30.0,13.0,,1017.4,
21212472,25.0,0.0,,30.0,13.0,,1017.4,
21212481,22.2,,,40.0,16.6,,1021.6,
21212483,25.0,0.0,,30.0,13.0,,1017.4,
21212485,26.1,0.0,,50.0,22.3,,1010.4,
21212492,27.8,2.3,,80.0,35.3,,1003.2,9.0
21212493,20.0,0.0,,,0.0,,1020.4,
21212494,16.7,0.0,,330.0,11.2,,1026.4,
21212495,26.1,0.0,,50.0,22.3,,1010.4,
21212496,15.4,,,,0.0,,,
21212497,26.1,0.0,,50.0,22.3,,1010.4,
21212498,28.3,0.0,,10.0,7.6,,1011.6,
21212499,17.2,0.0,,50.0,11.2,,1028.4,
21212500,12.8,0.0,,30.0,5.4,,1030.4,
21212501,25.6,0.0,,70.0,13.0,,1018.5,
21212503,25.6,0.0,,70.0,13.0,,1018.5,
21212505,26.1,0.0,,50.0,22.3,,1010.4,
21212506,21.7,0.0,,160.0,11.2,,1021.8,
21212512,17.2,0.0,,50.0,11.2,,1028.4,
21212515,25.6,1.0,,50.0,27.7,,1005.2,
21212517,25.6,0.0,,70.0,13.0,,1018.5,
21212518,20.0,0.0,,,0.0,,1020.4,
21212519,27.2,0.0,,40.0,20.5,,1009.1,
21212520,14.4,0.0,,350.0,11.2,,1025.7,
21212526,28.3,0.0,,120.0,9.4,,1014.5,
21212529,13.9,0.0,,350.0,9.4,,1025.2,
21212532,25.6,0.0,,40.0,11.2,,1013.5,
21212533,25.6,0.0,,70.0,13.0,,1018.5,
21212534,27.8,2.3,,80.0,35.3,,1003.2,9.0
21212535,25.6,0.0,,70.0,13.0,,1018.5,
21212536,33.9,0.0,,300.0,20.5,,1009.0,
21212767,16.7,0.0,,340.0,18.4,,1025.7,
21212768,15.4,,,,0.0,,,
21212769,27.8,2.3,,80.0,35.3,,1003.2,9.0
21212770,27.8,2.3,,80.0,35.3,,1003.2,9.0
21212771,28.3,0.0,,120.0,9.4,,1014.5,
21212772,25.6,1.0,,50.0,27.7,,1005.2,
21212779,18.3,0.0,,320.0,11.2,,1023.9,
21212780,27.8,2.5,,70.0,25.9,,1005.9,7.0
21212783,15.4,,,,0.0,,,
21212791,18.3,0.0,,320.0,11.2,,1023.9,
21212792,23.5,,,40.0,16.6,,1017.9,
21212793,18.3,0.0,,320.0,11.2,,1023.9,
21212794,26.1,0.0,,50.0,22.3,,1010.4,
21212795,16.7,0.0,,340.0,18.4,,1025.7,
21212796,27.8,2.5,,70.0,25.9,,1005.9,7.0
21212801,27.8,2.5,,70.0,25.9,,1005.9,7.0
21212804,18.3,0.0,,320.0,11.2,,1023.9,
21212811,13.3,0.0,,,0.0,,1030.2,
21212813,27.8,2.3,,80.0,35.3,,1003.2,9.0
21212820,22.2,0.0,,270.0,22.3,,1012.9,
21212821,27.8,2.3,,80.0,35.3,,1003.2,9.0
21212834,26.1,0.0,,50.0,22.3,,1010.4,
21212835,18.3,0.0,,320.0,11.2,,1023.9,
