ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
22582410,2.8,0.0,,290.0,5.4,,1017.7,
22582419,7.2,0.0,,270.0,5.4,,1019.9,
22582420,3.9,0.0,,280.0,0.0,,1018.0,
22582427,7.2,0.0,,270.0,5.4,,1019.9,
22582429,7.2,0.0,,270.0,5.4,,1019.9,
22582430,7.2,0.0,,270.0,5.4,,1019.9,
22582433,-2.8,0.0,,240.0,27.7,,1020.8,14.0
22582440,7.2,0.0,,270.0,5.4,,1019.9,
22582441,7.8,0.0,,190.0,11.2,,1019.6,
22582443,6.1,0.0,,120.0,25.9,,1033.3,
22582454,-3.0,0.0,,270.0,19.0,,,
22582470,7.2,0.0,,270.0,5.4,,1019.9,
22582471,-2.2,0.0,,300.0,16.6,,1024.6,
22582478,7.2,0.0,,270.0,5.4,,1019.9,
22582479,7.2,0.0,,270.0,5.4,,1019.9,
22582500,-4.4,0.0,,280.0,16.6,,1021.3,
22582502,7.2,0.0,,270.0,5.4,,1019.9,
22582509,7.2,0.0,,270.0,5.4,,1019.9,
22582510,7.2,0.0,,270.0,5.4,,1019.9,
22582511,0.6,0.0,,340.0,18.4,,1024.9,
22582515,8.3,0.0,,20.0,20.5,,1021.9,
22582519,-1.1,0.0,,10.0,11.2,,1039.5,
22582528,16.1,0.0,,70.0,5.4,,1028.2,
22582531,7.2,0.0,,270.0,5.4,,1019.9,
22582548,5.0,0.0,,230.0,11.2,,1013.2,
22582549,-3.3,0.0,,270.0,18.4,,1023.2,
22582558,12.8,0.0,,70.0,5.4,,1028.0,
22582574,7.2,0.0,,270.0,5.4,,1019.9,
22582877,7.2,0.0,,270.0,5.4,,1019.9,
22582878,-4.4,0.0,,280.0,16.6,,1021.3,
22582998,7.2,0.0,,360.0,11.2,,1021.8,
22582999,4.4,0.5,,360.0,5.4,,1022.6,
22583000,3.9,0.0,,340.0,18.4,,1028.0,
22583002,4.4,0.5,,360.0,5.4,,1022.6,
