ID_Vuelo,temp,prcp,snow,wdir,wspd,wpgt,pres,coco
20782553,21.1,0.0,,260.0,29.5,,1012.8,
20782566,21.1,0.0,,260.0,29.5,,1012.8,
20782570,31.7,0.0,,100.0,11.2,,1004.4,
20782587,21.1,0.0,,260.0,29.5,,1012.8,
20782607,24.4,0.0,,100.0,18.4,,1011.3,
20782616,23.3,0.0,,290.0,14.8,,1012.3,
20782621,21.1,0.0,,260.0,29.5,,1012.8,
20782623,21.1,0.0,,260.0,29.5,,1012.8,
20782642,21.1,0.0,,260.0,29.5,,1012.8,
20782674,21.1,0.0,,260.0,29.5,,1012.8,
20782686,36.7,0.0,,320.0,14.8,,1008.1,5.0
20782707,21.1,0.0,,260.0,29.5,,1012.8,
20782722,27.8,0.0,,170.0,14.8,,1009.9,
20782732,30.6,0.0,,300.0,29.5,,1008.3,
20782746,21.1,0.0,,260.0,29.5,,1012.8,
20782753,21.1,0.0,,260.0,29.5,,1012.8,
20782771,21.1,0.0,,260.0,29.5,,1012.8,
20782811,21.1,0.0,,260.0,29.5,,1012.8,
20782815,30.6,0.0,,110.0,11.2,,1008.6,
20782883,21.1,0.0,,260.0,29.5,,1012.8,
20782886,27.8,0.0,,170.0,14.8,,1009.9,
20782923,21.1,0.0,,260.0,29.5,,1012.8,
20782941,31.7,0.0,,180.0,7.6,,1004.4,
20782964,21.1,0.0,,260.0,29.5,,1012.8,
20782984,20.0,0.0,,230.0,11.2,,1011.7,
20782985,21.1,0.0,,260.0,29.5,,1012.8,
20782994,25.0,0.0,,140.0,16.6,,1009.0,
20783006,20.0,0.0,,230.0,11.2,,1011.7,
20783013,21.1,0.0,,260.0,29.5,,1012.8,
20783073,23.3,0.0,,230.0,14.8,,1011.4,
20783080,20.0,0.0,,230.0,11.2,,1011.7,
20783094,23.3,0.0,,70.0,9.4,,1012.9,
20783149,21.1,0.0,,260.0,29.5,,1012.8,
20784693,30.6,0.0,,130.0,13.0,,1009.1,
20784699,30.6,0.0,,130.0,13.0,,1009.1,
20787879,38.3,0.0,,220.0,24.1,,1004.7,
20787925,24.4,0.0,,200.0,13.0,,1008.9,
20788009,30.6,0.0,,110.0,11.2,,1008.6,
20788433,28.3,0.0,,50.0,13.0,,1014.1,
20789005,36.7,0.0,,220.0,9.4,,1005.8,17.0
20789015,28.3,0.0,,50.0,13.0,,1014.1,
20789157,28.3,0.0,,50.0,13.0,,1014.1,
20789376,30.6,0.0,,110.0,11.2,,1008.6,
20789377,23.3,0.0,,290.0,14.8,,1012.3,
20789953,38.3,0.0,,220.0,24.1,,1004.7,
20790043,21.1,0.0,,260.0,20.5,,1011.5,
20797800,28.9,0.0,,80.0,16.6,,1016.8,
20799024,27.8,1.0,,330.0,5.4,,1014.8,
20799026,25.0,1.0,,340.0,11.2,,1012.4,26.0
20803575,23.3,0.0,,160.0,11.2,,1010.2,
20804377,24.4,0.0,,210.0,5.4,,1010.8,
20805536,26.7,0.0,,20.0,5.4,,1012.8,
